0.9122	0.7907	0.3443	0.9889	0.0326	1.4536	-0.3406	-0.6220	0.0977	-1.0932	-0.5447	-2.2987	
0.3192	0.6764	0.2149	-0.5756	0.4578	0.8772	0.4896	0.5185	0.0213	0.6900	-0.5256	0.3584	
0.0536	0.2440	0.7624	1.0265	0.0756	1.7010	-1.0599	-0.4764	0.3682	0.1238	0.6961	1.3797	
0.7750	-0.4717	0.5190	-0.6580	0.4915	-0.8898	0.8424	0.2914	0.4523	1.0840	-0.2297	1.5973	
0.2343	0.5819	0.1618	0.5617	-0.6611	-1.7990	0.6183	0.7819	-0.2768	0.5427	-0.0543	-0.1089	
0.2035	-0.0909	0.1544	0.4228	0.2596	1.5989	0.2920	0.6392	-0.7089	0.2465	0.4257	1.6891	
0.2042	0.5883	0.7555	-0.3805	-0.1496	-0.9604	0.9136	-0.2536	-0.3995	-0.2409	0.4642	1.1008	
0.8138	0.3065	0.0365	-0.0866	-0.2342	-0.1939	-0.8188	-0.6476	1.4277	0.0033	-0.1254	-1.4876	
0.3298	0.4713	0.4167	-0.0636	0.1220	0.1529	0.0810	-0.5822	0.8063	-1.1108	0.5821	0.6574	
0.3751	0.3905	0.3861	-0.1593	0.1902	0.3771	-0.2465	-0.5577	-0.1244	-0.8002	0.2623	-1.4373	
0.1653	0.3814	0.6269	-0.6157	0.6107	0.6411	0.5693	-0.4525	0.3132	0.1609	-0.8480	-2.0797	
0.3934	-0.1529	0.0496	0.0724	0.3886	1.1332	-0.0694	0.1178	-0.0210	0.6282	-0.1801	0.9569	
